2016-10-01,100%,0%,0%,0%,0%,0%,0%,0%
2016-10-02,100%,0%,0%,0%,0%,0%,0%,0%
2016-10-03,100%,0%,0%,0%,0%,0%,0%,0%
2016-10-04,100%,0%,0%,0%,0%,0%,0%,0%
2016-10-05,100%,5.56%,0%,0%,0%,0%,0%,0%
2016-10-06,100%,10.34%,0%,0%,0%,0%,0%,0%
2016-10-07,100%,6.45%,0%,0%,0%,0%,0%,0%
2016-10-08,100%,0%,0%,0%,0%,0%,0%,0%
2016-10-09,100%,0%,0%,0%,0%,0%,0%,0%
2016-10-10,100%,0%,0%,0%,0%,0%,0%,0%
2016-10-11,100%,3.03%,0%,0%,0%,0%,0%,0%
2016-10-12,100%,3.57%,0%,0%,0%,0%,0%,0%
2016-10-13,100%,0%,0%,0%,0%,0%,0%,0%
2016-10-14,100%,0%,0%,0%,0%,0%,0%,0%
2016-10-15,100%,0%,0%,0%,0%,0%,0%,0%
2016-10-16,100%,0%,0%,0%,0%,0%,0%,0%
2016-10-17,100%,0%,0%,0%,0%,0%,0%,0%
2016-10-18,100%,9.09%,0%,0%,0%,0%,0%,0%
2016-10-19,100%,0%,0%,0%,0%,0%,0%,0%
2016-10-20,100%,0%,0%,0%,0%,0%,0%,0%
2016-10-21,100%,0%,0%,0%,0%,0%,0%,0%
2016-10-22,100%,0%,0%,0%,0%,0%,0%,0%
2016-10-23,100%,0%,0%,0%,0%,0%,0%,0%
2016-10-24,100%,0%,0%,0%,0%,0%,0%,0%
2016-10-25,100%,7.14%,0%,0%,0%,0%,0%,0%
2016-10-26,100%,0%,0%,0%,0%,0%,0%,0%
2016-10-27,100%,48.39%,0%,0%,0%,0%,0%,0%
2016-10-28,100%,0%,0%,0%,0%,0%,0%,0%
2016-10-29,100%,0%,0%,0%,0%,0%,0%,0%
2016-10-30,100%,0%,0%,0%,0%,0%,0%,0%
2016-10-31,100%,0%,0%,0%,0%,0%,0%,0%
2016-11-01,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-02,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-03,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-04,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-05,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-06,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-07,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-08,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-09,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-10,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-11,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-12,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-13,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-14,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-15,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-16,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-17,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-18,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-19,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-20,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-21,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-22,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-23,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-24,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-25,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-26,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-27,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-28,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-29,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-11-30,100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2016-09-01,100%,0%,0%,0%,0%,0%,0%,0%
